b,dgp_num,N,T0,twfe,parallel_trends,ar_error_term,instrument_noise,estimator,rel_year,estimate,std.error,ci_lower,ci_upper,selected_p,true_te
9,1,300,4,TRUE,TRUE,FALSE,1,TWFE with $\bm{w}_i' \bm{\beta}_t$,0,1.0622012561961458,0.1197908087477877,0.827411271050482,1.2969912413418097,NA,1
9,1,300,4,TRUE,TRUE,FALSE,1,Augmented Synthetic Control,0,0.992901584097877,0.12642220880380992,0.8697059087281399,1.2406891133533444,NA,1
9,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ known),0,0.8821363417082874,0.2206097679957287,0.4497491417989221,1.3145235416176526,2,1
9,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ estimated),0,0.942840648468828,0.14082655726637824,0.6668256681599594,1.2188556287776968,0,1
9,1,300,4,TRUE,TRUE,FALSE,1,Factor Imputation ($\bm{F}$ known),0,1.1498991751021224,0.08781331249603583,0.9777850826098922,1.3220132675943526,NA,1
9,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ known),0,1.0583720403575654,0.21201943397883685,0.6428139497590452,1.4739301309560855,2,1
9,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ estimated),0,0.9819932050081268,0.09071159887443918,0.804198471214226,1.1597879388020276,1,1
10,1,300,4,TRUE,TRUE,FALSE,1,Difference-in-means,0,0.7541080616536358,0.16337172120119017,0.43389948809930307,1.0743166352079685,NA,1
10,1,300,4,TRUE,TRUE,FALSE,1,TWFE,0,0.8179057056566321,0.12840308480326024,0.5662356594422421,1.0695757518710225,NA,1
10,1,300,4,TRUE,TRUE,FALSE,1,TWFE with $\bm{w}_i' \bm{\beta}_t$,0,0.8206936301624592,0.128454147517159,0.5689235010288276,1.0724637592960908,NA,1
10,1,300,4,TRUE,TRUE,FALSE,1,Augmented Synthetic Control,0,0.7239030932850312,0.15168335039836914,0.38814919386153746,1.0212024600658347,NA,1
10,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ known),0,0.9551862151221748,0.15743603864249525,0.6466172495142282,1.2637551807301215,2,1
10,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ estimated),0,0.7662074104637913,0.1457918392713702,0.4804606562520534,1.051954164675529,0,1
10,1,300,4,TRUE,TRUE,FALSE,1,Factor Imputation ($\bm{F}$ known),0,0.9247868164670596,0.0913979954292679,0.7456467454256946,1.1039268875084247,NA,1
10,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ known),0,0.8387581425621509,0.14718993101238276,0.5502658777778806,1.1272504073464211,2,1
10,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ estimated),0,0.8387581425621509,0.14718993101238276,0.5502658777778806,1.1272504073464211,2,1
