b,dgp_num,T_0,estimator,true_te,rel_year,estimate,std.error,ci_lower,ci_upper,selected_p
19,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.989524347004544,0.17670508024566411,4.643182389723042,5.3358663042860455,NA
19,1,4,QLD ($p$ known),1,0,-17.64994084228217,61.74974162463618,-138.6794344265691,103.37955274200472,2
19,1,4,QLD ($p$ estimated),1,0,-25.134164058199783,40.90487061815661,-105.30771046978674,55.03938235338717,1
20,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.070655541869076,0.1781192744665005,4.721541763914735,5.419769319823417,NA
20,1,4,QLD ($p$ known),1,0,0.814941467181948,1.60360096442422,-2.328116423089523,3.957999357453419,2
20,1,4,QLD ($p$ estimated),1,0,2.345232064149525,1.233379192448775,-0.07219115305007362,4.762655281349124,1
21,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.8960216417443565,0.1798167523634175,4.5435808071120585,5.2484624763766545,NA
21,1,4,QLD ($p$ known),1,0,-3.3149343667468414,3.100692502431086,-9.39229167151177,2.7624229380180876,2
21,1,4,QLD ($p$ estimated),1,0,-4.344837622426069,2.746317790736672,-9.727620492269946,1.0379452474178077,1
22,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.159169133558881,0.17332936874830937,4.8194435708121945,5.498894696305567,NA
22,1,4,QLD ($p$ known),1,0,-0.370518869166943,2.455480043570633,-5.183259754565384,4.442222016231497,2
22,1,4,QLD ($p$ estimated),1,0,-0.334592568244393,1.5459567356043231,-3.3646677700288663,2.69548263354008,1
23,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.118332568115111,0.17922096647470023,4.767059473824698,5.469605662405524,NA
23,1,4,QLD ($p$ known),1,0,-1.8717305860504967,2.351120202734929,-6.479926183410957,2.7364650113099644,2
23,1,4,QLD ($p$ estimated),1,0,-1.2921580755087725,1.37165419825625,-3.9806003040910225,1.3962841530734773,1
24,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.175427284915338,0.17597176603910697,4.830522623478688,5.520331946351988,NA
24,1,4,QLD ($p$ known),1,0,-1.3849478966780295,7.228338111145113,-15.55249059452245,12.78259480116639,2
24,1,4,QLD ($p$ estimated),1,0,26.348522838586604,0.5400943901598689,25.28993783387326,27.407107843299947,0
25,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.82735960009263,0.1777077648786926,4.479052380930392,5.175666819254868,NA
25,1,4,QLD ($p$ known),1,0,-1.393540544074435,1.2429197056109438,-3.829663167071885,1.042582078923015,2
25,1,4,QLD ($p$ estimated),1,0,-1.5073609573130635,1.1208711715600488,-3.704268453570759,0.689546538944632,1
26,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.567452892654254,0.1695280711088263,4.235177873280954,4.899727912027553,NA
26,1,4,QLD ($p$ known),1,0,-10.477581004341722,15.629213114639256,-41.11083870903466,20.155676700351215,2
26,1,4,QLD ($p$ estimated),1,0,-4.7447130453274955,3.0675977645015413,-10.757204663750516,1.2677785730955256,1
27,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.059976421638255,0.1787200075921852,4.709685206757571,5.410267636518938,NA
27,1,4,QLD ($p$ known),1,0,0.5314931479423051,5.4090416064621465,-10.070228400723504,11.133214696608112,2
27,1,4,QLD ($p$ estimated),1,0,-6.463903495275678,6.429866538970497,-19.066441911657854,6.138634921106496,1
28,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.047753298123567,0.1899949317652759,4.675363231863626,5.420143364383508,NA
28,1,4,QLD ($p$ known),1,0,0.8837622085685053,1.9431980585685449,-2.924905986225842,4.692430403362852,2
28,1,4,QLD ($p$ estimated),1,0,0.8837622085685053,1.9431980585685449,-2.924905986225842,4.692430403362852,2
29,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.0063891856949985,0.1643749824584544,4.684214220076428,5.328564151313569,NA
29,1,4,QLD ($p$ known),1,0,-0.3623116619743153,6.365608519922994,-12.838904361023385,12.114281037074754,2
29,1,4,QLD ($p$ estimated),1,0,-0.6279487423356019,1.2478081396170595,-3.073652695985039,1.817755211313835,1
30,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.231081749291456,0.1738799495248944,4.890277048222663,5.571886450360249,NA
30,1,4,QLD ($p$ known),1,0,3.3630196534469285,16.500962227378142,-28.978866312214222,35.70490561910808,2
30,1,4,QLD ($p$ estimated),1,0,25.155059877405655,0.4859910192466023,24.202517479682314,26.107602275128997,0
31,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.084254108725461,0.1790601358776319,4.733296242405302,5.43521197504562,NA
31,1,4,QLD ($p$ known),1,0,3.4475564709237636,6.889923082720399,-10.05669277120822,16.951805713055744,2
31,1,4,QLD ($p$ estimated),1,0,25.24350379589789,0.510733692556032,24.242465758488063,26.24454183330771,0
32,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.93284214836017,0.1993293010241782,4.542156718352781,5.3235275783675595,NA
32,1,4,QLD ($p$ known),1,0,8.061459783427809,20.22122748320844,-31.572146083660733,47.69506565051635,2
